Municipio,v,a,r,ndR,nd,nm
Acatlán,42,31,21,1,5,15
Acaxochitlán,105,4,6,0,0,0
Actopan,71,31,6,0,1,6
Agua Blanca de Iturbide,37,28,28,2,11,9
Ajacuba,62,30,12,0,4,7
Alfajayucan,50,20,28,0,10,7
Almoloya,56,17,27,0,8,7
Apan,31,32,29,2,12,9
Atitalaquia,76,16,15,0,6,2
Atlapexco,50,29,15,1,10,10
Atotonilco de Tula,61,21,21,0,12,0
Atotonilco el Grande,29,43,43,0,0,0
Calnali,21,36,38,2,11,7
Cardonal,51,28,14,0,7,15
Chapantongo,54,28,13,2,7,11
Chapulhuacán,20,16,50,3,17,9
Chilcuautla,53,15,28,1,11,7
Cuautepec de Hinojosa,97,8,5,2,3,0
El Arenal,36,27,31,1,11,9
Eloxochitlán,25,45,30,3,10,2
Emiliano Zapata,27,48,23,2,5,10
Epazoyucan,59,27,12,0,0,17
Francisco I. Madero,56,33,17,0,9,0
Huasca de Ocampo,56,26,19,1,10,3
Huautla,62,29,19,0,5,0
Huazalingo,32,16,40,5,20,2
Huehuetla,46,34,28,1,4,2
Huejutla de Reyes,75,17,8,0,5,10
Huichapan,81,13,8,0,3,10
Ixmiquilpan,43,30,20,0,7,15
Jacala de Ledezma,6,17,66,5,21,0
Jaltocán,32,31,37,2,6,7
Juárez Hidalgo,52,19,29,1,14,0
La Misión,18,34,42,1,5,15
Lolotla,32,35,27,3,11,7
Metepec,35,21,47,0,12,0
Metztitlán,58,21,28,0,3,5
Mineral de la Reforma,99,2,2,0,0,12
Mineral del Chico,32,19,46,3,13,2
Mineral del Monte,74,14,9,0,3,15
Mixquiahuala de Juárez,24,18,43,6,15,9
Molango de Escamilla,33,19,41,9,13,0
Nicolás Flores,58,20,28,0,0,9
Nopala de Villagrán,44,22,22,6,14,7
Omitlán de Juárez,37,30,39,1,6,2
Pachuca de Soto,85,13,6,0,1,10
Pacula,31,25,31,0,19,9
Pisaflores,33,25,40,0,10,7
Progreso de Obregón,61,30,14,2,2,6
San Agustín Metzquititlán,23,23,45,9,13,2
San Agustín Tlaxiaca,59,31,19,0,2,4
San Bartolo Tutotepec,35,31,33,3,3,10
San Felipe Orizatlán,67,23,13,0,3,9
San Salvador,48,27,28,0,7,5
Santiago de Anaya,65,15,23,0,7,5
Santiago Tulantepec de Lugo Guerrero,53,22,28,0,12,0
Singuilucan,69,16,19,1,6,4
Tasquillo,27,25,38,7,6,12
Tecozautla,38,38,18,1,8,12
Tenango de Doria,39,15,55,0,0,6
Tepeapulco,58,32,20,0,1,4
Tepehuacán de Guerrero,43,31,19,1,12,9
Tepeji del Río de Ocampo,92,14,4,0,1,4
Tepetitlán,46,22,24,6,11,6
Tetepango,61,26,22,0,2,4
Tezontepec de Aldama,13,21,42,9,21,9
Tianguistengo,11,35,47,4,18,0
Tizayuca,111,1,1,0,0,2
Tlahuelilpan,69,26,12,0,5,3
Tlahuiltepa,82,13,6,0,7,7
Tlanalapa,48,26,29,0,2,10
Tlanchinol,72,25,11,0,0,7
Tlaxcoapan,76,18,18,0,3,0
Tolcayuca,44,43,9,1,12,6
Tula de Allende,89,8,8,0,0,10
Tulancingo de Bravo,90,16,9,0,0,0
Villa de Tezontepec,65,15,15,2,13,5
Xochiatipan,21,16,73,1,1,3
Xochicoatlán,47,20,31,0,7,10
Yahualica,18,30,39,1,20,7
Zacualtipán de Ángeles,85,15,11,1,3,0
Zapotlán de Juárez,89,4,9,0,3,10
Zempoala,65,33,12,0,3,2
Zimapán,66,22,26,0,1,0
